from,to,name,conf
7320,7760, Ach Gott.,0.43499884
89440,90000,Ich will nicht mehr.,0.09498176
156440,157400, Was für eine Diskussion?,0.45794192
158400,159000,Was für eine Diskussion?,0.5105751
178480,179200,Was sollen wir jetzt machen?,0.26440203
182360,182720,Über?,0.106
183640,183880,Über?,0.106
193360,194120,Gar nicht.,0.30598694
195840,196960, Das ist ultra komisch.,0.28910416
197960,198320,Für was?,0.49821582
199840,201080,Außer du hast einen Schüleraustausch mit dir.,0.21217357
258000,259240,"Dreht sich der Kopf, wenn man so macht?",0.49284405
260360,261680,"Dreht sich eigentlich der Kopf, wenn man so macht?",0.4895281
268360,268680,funny.,0.619
275720,278400,"Wenn die Augen zugehen, sieht mein Charakter dann auch die Augen zu?",0.44603676
280960,281480,"Ne, sind offen.",0.6734977
283600,284640,Aber die blinken manchmal.,0.48954332
293200,294320,ach du scheiße.,1.0
302000,304000,Du siehts heute mal wieder gut aus.,0.30297044
315320,315680,cool,1.0
325000,325720,Was für eine Scheiße.,0.647798
330800,332560,Ich kann meinen Daumen nicht bewegen.,0.46882433
337640,342120,"Also ich finde zum Reden von Leuten, die im Raum sind, braucht man kein VR.",0.64061373
346840,348120,"Ey, ich surf grad im Internet.",0.51134926
350200,351760,Pro Social VR. ,0.6348371
368600,369040,Nee.,0.032
396600,396920,Ja.,0.329
401040,401360,Stimmt. ,0.502
401920,402160,Funny.,1.0
417080,417840,Weiß ich nicht.,0.38224927
419120,419480,Warte,1.0
430600,431720,Am Ende ist das alles so aufgenommen.,0.8097393
435680,437080,"Nee, meiner ist einfach so am Sitz.",0.7303772
440880,441520,"Ja, jetzt schon.",0.7338342
448600,449960,Am Ende wird es einfach aufgenommen.,0.60617375
450000,450600,Wir sehen uns die ganze Zeit so.,0.2082759
455280,456120," Oh, scheiße.",0.6178147
465920,468080,"Ich google gerade, was es da für Vorteile gibt.",0.65392035
469280,470640,"Google gerade mal, was es für Vorteile gibt.",0.5228509
476360,478640,Geh mal auf Browser und dann kannst du einfach googeln.,0.3879109
518360,519440,Ich mache gerade Bildschirmfotos.,0.39775917
528480,528840,Warte.,0.456
533080,534560,funny.Kann ich Bildschirmfotos jetzt anschauen?,0.62283146
538000,544040,"Ja, da steht, bei mir kann man unten bei Sprachnotiz draufgehen und dann kann man da auf erstelle Bildschirmfotos drücken.",0.7018069
544720,546400,"Aber ich würde gerne sehen, welche Bildschirmfotos ich gemacht habe.",0.72200435
553080,554080," Teilnehmer, Moderator.",0.8794487
554440,555720,Ich kann Moderator werden.,0.39642066
561880,562760,Ich kann nen Timer starten.,0.6314962
