score,conf
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
0.04317908,1.0
0.04317908,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.48615173,1.0
0.49475315,1.0
0.49475315,1.0
0.49475315,1.0
0.49905384,1.0
0.49905384,1.0
0.49905384,1.0
0.49905384,1.0
0.49905384,1.0
0.49905384,1.0
0.50765526,1.0
0.50765526,1.0
0.50765526,1.0
0.50765526,1.0
0.50765526,1.0
0.511956,1.0
0.511956,1.0
0.511956,1.0
0.5162567,1.0
0.5162567,1.0
0.5162567,1.0
0.5162567,1.0
0.5162567,1.0
0.5162567,1.0
0.52055734,1.0
0.52055734,1.0
0.52055734,1.0
0.52485806,1.0
0.52485806,1.0
0.5291588,1.0
0.5291588,1.0
0.5291588,1.0
0.5334595,1.0
0.5334595,1.0
0.5334595,1.0
0.5334595,1.0
0.5334595,1.0
0.5334595,1.0
0.5420609,1.0
0.5420609,1.0
0.5420609,1.0
0.5420609,1.0
0.5420609,1.0
0.5420609,1.0
0.5420609,1.0
0.5420609,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5463616,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.5506623,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.554963,1.0
0.5592637,1.0
0.5592637,1.0
0.5592637,1.0
0.5592637,1.0
0.5592637,1.0
0.5592637,1.0
0.5592637,1.0
0.5592637,1.0
0.5635644,1.0
0.5635644,1.0
0.5635644,1.0
