from,to,name,conf
115600,115880,Achso,1.0
125360,139720," Ja, viel mehr Technikausstattung und das Positive ist vielleicht, dass man halt miteinander kollaborieren kann, also auf den verschiedenen Leinwänden, wo man weiß, wo sie sind.",0.7460293
143120,158920," Ja, vielleicht störend als Lehrkraft ist es, wenn man vielleicht nicht gleich die Funktion findet, die man braucht und dann muss man immer kurz stoppen, um es den einzelnen Schülern und Schülerinnen vielleicht kurz nochmal zu erklären.",0.84581953
159120,165320,Also für mich war es am Anfang ein bisschen schwer reinzufinden.,0.34040534
165400,165680,Genau.,0.802
167960,172480," Ja, vielleicht liegt es auch ein bisschen daran, aber am Anfang war es für mich so unscharf.",0.37459177
172600,175320,Da musste ich es halt immer so hochdrücken.,0.48365012
178040,181520,"Ja, okay, das war jetzt nur mein individueller Eindruck.",0.4675038
183640,184840,Achso,1.0
187120,190760,"Ach so, ja, ich dachte, das wäre jetzt wegen meinem Kontaktlinsen.",0.53285635
190760,191000,Genau.,0.757
278960,281200,"Achso, also ich weiß nicht.",1.0
284960,292640," Also ich weiß jetzt nicht, ob es jetzt heute wegen dem Setting ist, aber ich glaube, vielleicht würde es helfen, wenn man auch sich bewegen könnte.",0.6399696
294320,298680,"Weil, zum Beispiel habe ich die Leinwand gar nicht gesehen, die hinter mir war, also die Leinwand hier.",0.6347533
302600,307880," Und, also einfach nur zu aus... Also wenn man vor allem was zeigen will oder wenn man miteinander agiert.",0.7800049
308240,311960,"Ich weiß halt nicht, wie es halt ist, wenn man dann zusammenstößt.",0.57436633
312000,314200,Weil man ja sich gegenseitig ja nicht sieht.,0.8087157
314280,315320,So in dem Sinne.,0.764393
315360,318480,Also natürlich in einem virtuellen Raum.,0.35744265
318560,330480,"Aber... Ja, vielleicht könnte man auch die Leinwände vielleicht auch mehr farblich gestalten, damit es halt eindeutig ist.",0.7561166
332440,335320, Also würde mir jetzt spontan einfallen.,0.5278776
406400,412240," Ich würde es nur in einzelnen Stunden, glaube ich, nutzen.",0.7751759
412400,422280,"Also je nach dem. Wenn ihr beide dabei wärt, dann wäre es, glaube ich, besser, wenn man es in der Schule macht, weil ich finde schon, dass das",0.6424707
423920,426200, Also es ist schon erklärungsbedürftig.,0.7596246
426320,438440,"Ich glaube, wenn man halt jetzt mehr drin ist und es schon öfters ausprobiert hat, da könnte man es schon, also denke ich, dann gewöhnt man sich halt daran und könnte man es auch schon mit nach Hause den Schülern mitgeben.",0.6816779
438480,443240,"Aber jetzt für den Anfang, wenn es ganz neu ist, dann würde ich es erstmal nicht.",0.7257975
443240,450160,"Einfach aus dem Grund, weil es schon erklärungsbedürftig ist und sie dann eher vielleicht Probleme haben als",0.7616547
451680,456120, dass sie quasi jetzt nicht mit dem Inhalt dann befassen können.,0.8584423
456200,477360,"Aber wenn sie sich halt gewöhnt haben, dann könnte ich mir schon vorstellen, dass sie es vielleicht auch um dann vielleicht zusammen dann zu lernen und dann halt das jetzt mit Mindmap irgendwie ja okay auf dem Computer zu machen, könnte man es halt auch auf der virtuellen Umgebung machen.",0.71220654
477480,478440,Zuhause zum Beispiel.,0.65928537
512480,515840,"Ja, stimmt.",0.4656866
515960,520080,"Ja, da sind sie auch mehr, also sie gewöhnen sich halt dann mehr.",0.61854124
520240,522799,Da kann man es halt auch eher im Unterricht verwenden.,0.60608196
524240,524360,ja.,1.0
553120,553240,ja.,1.0
587200,587320,ja,1.0
604200,605480,"Mhm, ja.",0.6322294
