session,role,segment_idx,from_ms,to_ms,segment_duration_s,text,word_count,avg_word_length,words_per_second,question,statement,sentiment_p_blue_mean,sentiment_p_blue_std,engagement_p_blue_mean,engagement_p_blue_std,task_engagement_mean,task_engagement_std,arousal_mean,arousal_std,dominance_mean,dominance_std,valence_mean,valence_std,sentiment_p_green_mean,sentiment_p_green_std,engagement_p_green_mean,engagement_p_green_std,sentiment_p_red_mean,sentiment_p_red_std,engagement_p_red_mean,engagement_p_red_std
recording_dyad_01,p_blue,0,530.0,890.0,0.36," Ja, genau.",2,3.5,5.555555555555555,0,1,-0.047415926000000004,0.07455557972663798,0.008773439,0.0,0.2972136,0.0,0.4787969944444444,0.08487426667815062,0.4634480077777778,0.0672431080640781,0.4292974322222223,0.04297332612332723,,,,,,,,
recording_dyad_01,p_blue,1,910.0,1891.0,0.981,Dann geht es jetzt einfach so.,6,4.0,6.116207951070336,0,1,-0.4846275199999999,5.551115123125783e-17,0.008773439,0.0,0.2972136,0.0,0.46083098240000003,0.06909959149823022,0.4415056372000001,0.05704472054080346,0.38471839120000006,0.04941327450801967,,,,,,,,
recording_dyad_01,p_blue,2,1931.0,2692.0,0.761,Ich stelle es nochmal ein.,5,4.2,6.570302233902759,0,1,-0.029963888000000008,6.938893903907228e-18,0.008773439,0.0,0.2972136,0.0,0.44802448473684214,0.06163316367264321,0.43090746789473683,0.056382249687355515,0.3793263536842105,0.04637229593625013,,,,,,,,
recording_dyad_01,p_blue,3,2952.0,9158.0,6.206,"Ich habe mir nochmal 10 Minuten und 10 Minuten Zeit, um das bei euch zu kommentieren.",16,4.25,2.5781501772478244,0,1,0.060408175,0.0,0.5804342826172044,0.2233180608597023,0.335497174451613,0.014101231597368652,0.46677181735483875,0.06183254480950495,0.46183759258064516,0.06267507444490943,0.3901028558064516,0.02948068965093558,,,,,,,,
recording_dyad_01,p_blue,4,9258.0,16105.0,6.847,"Und die Nachteile, die ihr jetzt gesprochen habt, umgehen zu können.",11,5.0,1.6065430115378998,0,1,-0.5084846000000001,1.1102230246251565e-16,0.92912436,0.0,0.3359133000000001,5.551115123125783e-17,0.4822936465497076,0.06158299014923911,0.47872764099415205,0.0662838425768471,0.39039570070175433,0.029388860479235085,,,,,,,,
recording_dyad_01,p_blue,5,18680.0,19280.0,0.6,Okay.,1,4.0,1.6666666666666667,0,1,0.08910050999999998,1.3877787807814457e-17,0.9291243599999998,2.220446049250313e-16,0.3875129,0.0,0.47907716133333333,0.06581108886774678,0.45424145266666666,0.056210061298559516,0.4202605333333334,0.02886630864120192,,,,,,,,
recording_dyad_01,p_blue,6,20229.0,20800.0,0.571,Also.,1,4.0,1.7513134851138354,0,1,-0.09445521,0.0,0.9291243599999998,2.220446049250313e-16,0.4150019641666667,0.02349824524411431,0.46512375857142857,0.07974436101492362,0.4526422921428571,0.06499692629509427,0.4130417864285714,0.05456538848161398,,,,,,,,
recording_dyad_01,p_blue,7,22240.0,24360.0,2.12," Ich bin der Meinung, dass man sowas nicht in",9,3.888888888888889,4.245283018867925,0,1,-0.7097363999999997,3.3306690738754696e-16,0.9291243600000003,3.3306690738754696e-16,0.6244775079716981,0.07877305077396048,0.4462463035849057,0.057855873012921104,0.44198672698113206,0.05248395190759874,0.4205429443396227,0.0331261628561091,,,,,,,,
recording_dyad_01,p_blue,8,25440.0,29720.0,4.28,"okay nicht in wichtigen Fächern klingt blöd, aber nicht, wenn du wirklich wichtige Inhalte beibringen willst, ",16,5.6875,3.7383177570093458,0,1,-0.5660869999999999,1.1102230246251565e-16,0.8159662448598132,0.09461693400684444,0.8648091000000003,3.3306690738754696e-16,0.4550188676635513,0.0662320074738962,0.4475614042056075,0.05466847334014847,0.43210623336448606,0.039031123506281275,,,,,,,,
recording_dyad_01,p_blue,9,30240.0,33720.0,3.48,"machst, sondern wenn es halt Inhalte sind, die man sich spielerisch erarbeiten kann.",13,5.3076923076923075,3.735632183908046,0,1,0.1373399200000001,8.326672684688674e-17,0.7619694648371645,0.06310873889251577,0.9140733544827583,0.03638039578059804,0.47107418287356323,0.07349035232940453,0.45729031632183903,0.06082371590129017,0.4352343196551724,0.04759324993578423,,,,,,,,
recording_dyad_01,p_blue,10,33760.0,39080.0,5.32,"Zum Beispiel so Übungsfirmen gab es bei mir in der alten Schule, wo ich Praktikum gemacht habe.",17,4.529411764705882,3.195488721804511,0,1,-0.020498431999999994,6.938893903907228e-18,0.883724465595238,0.011511044062814585,0.9422084699999999,1.1102230246251565e-16,0.472136504887218,0.07123967378532764,0.4651355081203007,0.06082516217269274,0.42819199902255645,0.04710282363730281,,,,,,,,
recording_dyad_01,p_blue,11,39120.0,40840.0,1.72,"Das wäre super, aber wenn du zum Beispiel",8,4.125,4.651162790697675,0,1,0.5580479499999998,1.1102230246251565e-16,0.8352923208914727,0.024164166638608747,0.9422084699999997,2.220446049250313e-16,0.4851241144186047,0.07174257637120744,0.4662336425581395,0.06025261285076605,0.4374190769767442,0.059580407461106516,,,,,,,,
recording_dyad_01,p_blue,12,41600.0,47880.0,6.28," internes und externes Rechnungswesen den Leuten beibringst, ist das, glaube ich, eher hinderlich, weil die Ablenkung dadurch dann auch viel zu groß ist.",23,5.434782608695652,3.662420382165605,0,1,-0.72307545,0.0,0.8861036433757962,0.00017107078147536448,0.9422084699999997,2.220446049250313e-16,0.4697114550318472,0.06943232624868288,0.45753025299363054,0.05609925052339327,0.4316875460509555,0.04971316465410894,,,,,,,,
recording_dyad_01,p_blue,13,68800.0,69080.0,0.28, ja,1,2.0,3.571428571428571,0,1,-0.0068653820000000015,1.734723475976807e-18,0.8947187000000001,1.1102230246251565e-16,0.9551083399999999,1.1102230246251565e-16,0.5018560857142856,0.07468344993799397,0.48666265999999997,0.0607014110003339,0.47108574,0.04148043134443036,,,,,,,,
recording_dyad_01,p_blue,14,92240.0,93360.0,1.12," Aber es geht auch nur, wenn Sie",7,3.4285714285714284,6.249999999999999,0,1,-0.017465234,0.0,0.5033545499999998,1.1102230246251565e-16,0.9551083399999999,1.1102230246251565e-16,0.4501312067857142,0.06455079083605146,0.43670441392857146,0.052263285498783146,0.4377763907142857,0.05432130576628764,,,,,,,,
recording_dyad_01,p_blue,15,93840.0,97600.0,3.76,  davor Theorie gelernt haben oder sich mit dem Thema schon auskennen.,11,5.181818181818182,2.925531914893617,0,1,-0.06185310700000002,2.0816681711721685e-17,0.7144703733156029,0.12175194919495738,0.9551083399999997,3.3306690738754696e-16,0.4643575876595744,0.07688712192586761,0.4525618138297873,0.06644706695459379,0.4298459181914893,0.040837410720247,,,,,,,,
recording_dyad_01,p_blue,16,97640.0,99480.0,1.84,Also jetzt zum Beispiel bei dem ähm,7,4.142857142857143,3.8043478260869565,0,1,-0.09744685999999998,1.3877787807814457e-17,0.4990538399999998,2.220446049250313e-16,0.9551083400000003,3.3306690738754696e-16,0.47243520347826085,0.0464888079649187,0.4595812486956521,0.034621506193631864,0.44782317782608694,0.0483617826001102,,,,,,,,
recording_dyad_01,p_blue,17,99840.0,107320.0,7.48," Arbeitsauftrag, den wir hatten, da war es simpel, weil die viel ihre eigene Meinung und was sie über Social Media und so mitbekommen, wahrscheinlich sagen, und nicht  irgendwelche",28,5.214285714285714,3.7433155080213902,0,1,-0.08236836000000003,2.7755575615628914e-17,0.8519110015508022,0.1313408405170255,0.95510834,0.0,0.456333891657754,0.0628135266972878,0.44482017754010694,0.052982579903689396,0.434761582459893,0.04248425797376154,,,,,,,,
recording_dyad_01,p_blue,18,108040.0,110280.0,2.24, theoretischen Grundlagen aus irgendwelchen Lehrbüchern ,5,10.0,2.2321428571428568,0,1,-0.037673928,0.0,0.9420265,0.0,0.9551083399999999,1.1102230246251565e-16,0.46194942214285717,0.06041931374952681,0.4598633219642857,0.050566187599392735,0.4444541785714286,0.04331446728755233,,,,,,,,
recording_dyad_01,p_blue,19,111320.0,112320.0,1.0, wiedergeben müssen.,2,8.5,2.0,0,1,-0.16298649,0.0,0.9420265000000001,1.1102230246251565e-16,0.95510834,0.0,0.4408924556,0.0484665963728828,0.43993545599999995,0.03720500843554169,0.4275623416,0.042957416367219635,,,,,,,,
recording_dyad_01,p_blue,20,113360.0,113880.0,0.52, Aber,1,4.0,1.923076923076923,0,1,-0.087687686,0.0,0.9420265000000002,2.220446049250313e-16,0.9551083400000002,2.220446049250313e-16,0.46892724461538465,0.044899932886907974,0.4373643430769232,0.03336667805534723,0.44256922615384614,0.031956624151484925,,,,,,,,
recording_dyad_01,p_blue,21,114480.0,120760.0,6.28," sonst ist es eher so als Bonus, das Gelernte anzuwenden, um vielleicht auch manche Lerninhalte der Realität",17,5.235294117647059,2.7070063694267517,0,1,0.06487263,0.0,0.9420264999999999,1.1102230246251565e-16,0.9551083399999998,2.220446049250313e-16,0.45842866025477713,0.06963348127721145,0.44761780235668797,0.060792514294636224,0.43287189694267514,0.049592825524701,,,,,,,,
recording_dyad_01,p_blue,22,121520.0,122080.0,0.56,ähm,1,3.0,1.7857142857142856,0,1,-0.017521799,0.0,0.9420265000000002,2.220446049250313e-16,0.9551083400000003,3.3306690738754696e-16,0.48195500857142853,0.05119971789805288,0.4777209471428571,0.04219773586705969,0.45562958142857146,0.03783859573763651,,,,,,,,
recording_dyad_01,p_blue,23,122720.0,123880.0,1.16, zu realisieren.,2,6.5,1.7241379310344829,0,1,-0.039815366000000005,6.938893903907228e-18,0.9420265000000001,1.1102230246251565e-16,0.9551083399999999,1.1102230246251565e-16,0.43817578379310346,0.0407290353069623,0.43400853310344834,0.03622062784440134,0.42622652862068966,0.04843145988003336,,,,,,,,
