from,to,name,conf
42320,42600,Ja.,0.756
46960,47200,Jetzt nicht mehr.,0.387
51640,54640,Einfach nochmal an dein Handgelenk schauen und auf Tablet drücken.,0.4871696
113440,113680,Ja.,1.0
114120,115120,Also ging mir auch so.,0.48590532
115160,120280,Ich hatte Englisch und da wurde halt auch sehr viel auf so Texte und so hingewiesen.,0.77188826
120920,121600,ehm,1.0
122040,125280,"Aber jetzt gar nicht so irgendwie so auf Medien oder irgendwelche,",0.6688006
125840,126200," ich weiß nicht,",1.0
126960,131440," manchmal in Englisch bietet es sich ja auch an, vielleicht irgendwie mal ein Video zu gucken oder so, ",1.0
132040,134240, irgendwie eine Nachrichtensendung oder so.,1.0
134680,137160,Und das wurde zum Beispiel auch gar nicht erwähnt.,0.8364668
137520,140360,"Also ich war da auch irgendwie ein bisschen enttäuscht, wie wenig da so irgendwie so an digitale Medien gedacht wurde.",0.67147386
141000,142920,an digitale Medien gedacht wurde.,1.0
247280,247400,ja,1.0
256280,256480, ja,1.0
257640,260399," Ich glaube auch, dass bei uns einfach eine größere Rolle spielt.",0.64822304
261000,263600,Also in der Grundschule ist es halt schon schwierig und da geht es ja auch dann,0.6520538
264400,274240," gut, vielleicht in der vierten Klasse, vielleicht könnte man da dann am Ende vom Schuljahr irgendwie so was Kleines noch machen, so über Medien, so wie so einen kleinen Infotag oder so.",1.0
274840,275720,Also ansonsten ,0.5937515
276320,283080,"ist ja in der Grundschule eigentlich schon eher so andere Sachen, sage ich mal, wichtiger, wie zum Beispiel irgendwie so kognitive Fähigkeiten und so.",1.0
283600,284920,"Und ich weiß nicht, so",0.341797
286280,287720, Lernen über Medien.,0.8723626
288880,292960,"Also ist, denke ich, schon wichtig, wenn dann auch Kinder irgendwie schon Tablets benutzen.",0.6883441
293360,295200,"Aber es ist auch irgendwie schwierig, umzusetzen.",0.6286399
295280,296080,Also vielleicht ,0.76044464
296640,301000,dann doch eher so in der vierten Klasse höchstens vielleicht irgendwie schon.,1.0
301800,302840,Und ja.,0.510771
376040,380640,"Ja, aber ich glaube, es ist auch ein Unterschied zu Medien, also Lernen mit Medien.",0.64930534
381080,383160,"Das ist, glaube ich, in der Grundschule einfach so völlig anders.",0.4672192
384920,391440," Ich will jetzt nicht viel am Platz sagen, aber es ergibt nicht so sehr Sinn, wenn man so motorische Fähigkeiten erstmal ausbilden will.",0.7173658
391840,392560,"Aber ich glaube, so ",0.74439
393120,396200,Lernen über Medien könnte dann halt trotzdem schon,1.0
396840,397480, eigentlich ziemlich gut sein.,1.0
397640,398520,"Weil ich meine, ",0.72024894
399000,400760,die Eltern verstehen es dann vielleicht manchmal nicht.,1.0
400840,402440,"Und dann ist es schon gut, dass die Kinder so",0.61863416
403160,405320, von Anfang an so ein Bewusstsein haben.,1.0
406000,409120,"Und gut, jetzt erste Klasse würde ich jetzt auch nicht machen.",0.7631452
409560,412640,"Aber ich glaube, so in der vierten Klasse könnte man das dann schon irgendwie so...",0.6521157
413760,415640, ein bisschen mit einfließen lassen.,0.73083854
415680,418000,"So, hey, was nutzt ihr an Medien?",0.81863856
418560,420320,Worauf muss man vielleicht achten?,0.8463458
421120,421480,Ja.,0.874
433200,433800,Hm.,0.954
443720,444080,ja,1.0
458600,463040,"Keine Ahnung, vielleicht könnte man sich überlegen, wie man es umsetzt, dieses Lernen über Medien.",0.7621451
474880,475000,mhh,1.0
545880,546520,Ja stimmt.,0.40611234
547200,548120,"Ich finde auch, ich glaube, ",0.76220244
549080,553040,"erstens so, ich glaube, es ist nicht realistisch für die Schulen mit VR-Brillen und so.",1.0
553800,554560,Und ich glaube,0.7104213
556120,561720,", zweitens, keine Ahnung, wird es immer jemanden geben, der dann irgendwie so nur Scheiße damit baut.",1.0
561800,562480,Also...,0.478
564520,567720," Ich weiß nicht, ob man darauf vertrauen kann, dass dann",0.8285803
568280,570360,  alle wirklich so mitarbeiten praktisch ,1.0
570920,571800,  und mitmachen.,1.0
572400,575800,"Und vielleicht sind dann viele auch so, ja, so sind wir hier in einem Raum, können wir nicht irgendwas ",0.5583238
576520,578440,anderes machen?,1.0
601680,602080,ja,1.0
604080,605280,"Ne, ich meine jetzt auch nicht alle.",0.76188105
605320,608640,"Also ich glaube, den Großteil kannst du schon zutrauen.",0.6195406
608680,610400,Vor allem ab so einem bestimmten Alter.,0.6452224
611080,613880,"Aber ich meine, es wird immer jemanden geben,",0.7587688
614560,617040, auf den du dann extra achten musst oder so.,1.0
617840,622680,Und das ist dann halt auch super anstrengend und vielleicht auch einfach störend für den Rest der Klasse.,0.5773941
663000,663120,ja,1.0
665000,665400,Ja.,0.73
672760,674160,"Auf jeden Fall, ja.",0.89541274
676320,679880,"Ja, vielleicht tun sich da auch manche Kinder dann echt schwer, das so zu unterscheiden, ja.",0.7122097
710680,710760,Mhm.,0.013
765120,767560," Oh, hier kommst du ja gerade zur anderen Tafel von den anderen.",1.0
780040,781520,Meine linke Hand ist weg.,0.6111361
782240,783360,"Puh, sie ist wieder da.",0.5978942
822400,824000,"Kann sein, dass seine beiden Hände gerade verschunden sind.",0.6530003
