from,to,name,conf
187600,188800,"Nein, ich sehe nur die Tabelle",0.12918751
193200,194120,Wo?,0.774
198000,200120,äh ja,0.789
203720,204160,Ah.,0.382
205480,206520,jetzt,0.448
216920,219360,Und was sollen wir damit machen?,0.25901264
221040,224640,"Das haben wir schon gelesen, stimmt das? Oder?",0.18408647
241040,243080,Was sollen wir jetzt machen?,0.42210805
261920,263080,So was machen wir jetzt?,0.5035412
287960,289200,"Was war die Aufgabe, oder?",0.6335007
317720,322120,Und dan sollen wir das schreiben oder? Geht es das irgendwie oder?,0.36473402
409160,410040,Ja ich sehe das.,0.47615108
410120,410960,Ich lese das.,0.29535025
415960,418680,Aber was sollen wir damit machen?,0.28822693
423160,423960,Was?,0.626
471720,479080, Ich denke das ist zum Beispiel sehr geeignet für verschiedene historische Ereignisse zu Verstehen zum Beispiel oder.,0.577139
481080,485000," Die Sache, die man kann nicht nur erleben kann.",0.55576366
508480,509680,Noch einmal.,0.72426695
512880,517400,Ich studiere Pädagogik für Sekundarstufe 2.,0.71671104
519000,522159,Englisch und Deutsch.,0.57895833
530840,532400,"Ja, mh auf jeden Fall.",0.43023598
532520,533880,Ich glaub da ist das zu komplex.,0.49267158
541800,550520,Ich denke es wäre für die Schüler auch sehr anstrengend die virtuelle Realität zu benutzen.,0.38720843
550600,551560,Ja,0.079
555200,559960,Es ist auch für mich ganz schwer alles zu beherrschen.,0.5221363
566000,566400,ja,1.0
567280,570480,Ich denke das ist nicht für eine oder zwei Stunden.,0.6334021
571040,574280,Es braucht mehr Zeit alles zu verstehen.,0.0
582640,583040,ahh,1.0
585240,585840,toll.,0.204
590240,592560,Ich mag diese Avatareinstellung.,0.4571916
595560,596040,*lacht,1.0
601520,602840,Ich muss umziehen.,0.42306083
611760,617960," Und warum möchtest du dieses Seminar wählen, wenn du Grundschule studierst?",0.2858629
638600,638960,mhh,1.0
645200,656880,"Und ich denke, dass es auch hängt davon ab, wo man lebt weil in Tschechien wäre es denke ich nicht möglich in der Schule diese virtuelle Realität zu haben",0.5306045
658680,664480,"Vielleicht in der Privatschule oder sowas, aber nicht im normalen Unterricht.",0.60070723
676880,680880," Und gibt es virtuelle Realtität ganz oft in der Schule, oder?",0.5496492
699280,699920,mhh,1.0
711560,714840,Aber es können nicht das verwenden.,0.27513662
721000,721800,"Hm, niemals.",0.775229
721840,729160,"Ich kenne nur die Brille für virtuelle Realität, aber ich habe das niemals in der Schule benutzt so.",0.5899992
730960,733280,Es ist ganz neu für mich.,0.6738929
733520,734920,Aber es ist toll.,0.4437947
735360,736240,Macht Spaß.,0.5337893
