from,to,name,conf
54360,55160,Was sagt ihr?,0.30027974
64280,65760,Was deine Antwort ist.,0.5686761
66400,67720,Oder was würdest du sagen?,0.7016829
83800,87920,Und auch kein Unterrichtsfach haben.,0.77593064
100640,104600," Ja, wir können ja mal überlegen, ob es so Wirtschaft an der Berufsschule, ",0.5361832
105840,107920,"wie man das einsetzen könnte, oder?",1.0
122800,123240,mhh,1.0
124160,142520," Ich finde gerade für so Fälle wie mit der Brücke, das ist richtig cool, weil dann kann man vielleicht auch Sachen anschaulicher machen, auch so gerade wie wenn Kräfte anwirken und so, aber so wenn du jetzt aktiver, passiver zum Beispiel lernst, ich weiß nicht, ob es sinnvoll wäre, da jetzt wie abrollen zu nutzen.",0.7052245
155800,156960, Echt? hä warum?,0.226
157000,158560,Wie wirst du jetzt abgelenkt?,0.1671924
181120,181240,ja,1.0
182360,182680,ja also,1.0
183560,188960," Ich hatte die schon ein paar Mal so auf, als wir, weil wir die bei Wirt hatten, also bei dem Unternehmen.",0.83071166
189040,208800,"Und deswegen, also klar, es ist jetzt hier eine ganz andere Umgebung und so, aber ja, ich finde, ich werde zum Beispiel eigentlich fast weniger abgelenkt, weil hier alles, wir haben so einen cleanen Raum vor uns und es ist schwieriger irgendwie mit einem Nachbar zu reden, als wenn Jelis jetzt ganz normal neben mir sitzen würde oder halt ohne Brille.",0.6442873
208840,210280,"Aber ja, ich verstehe schon, was ihr meint.",0.53281415
220080,220320,ja ,1.0
220720,225240,"ich glaube für so einfache Sachen, so zum Veranschaulichen",0.67134064
227120,228520, ist es schon mal ganz cool.,1.0
230440,234040," Und vielleicht auch mal, dass man den Unterricht so abwechslungsreicher gestaltet.",0.7958226
235120,237520,Aber für den Alltag fände ich es jetzt auch total unnötig.,0.41252705
240440,241160,Meinst du jetzt... ,0.56764585
245640,248280,"Aber meinst du jetzt, wenn wir Wirtschaftslehrer werden quasi?",0.6230216
271960,272080,mhh,1.0
288040,288160,ja,1.0
294240,295640,Auf jeden Fall.,0.15475939
329520,333640,"Ich weiß nicht, man hat halt auch ganz andere Probleme, die man vielleicht noch beachten müsste.",0.58389866
333720,337520,Sowas wie gerade die technische Schwierigkeit mit deinen Händen oder so.,0.756072
337560,338920,Mit meinen Händen war ja jetzt schon...,0.5167092
339480,341120, hält halt schon ein bisschen auch auf.,0.34447184
341160,350680,"Oder wenn jetzt jemand voll Kopfschmerzen kriegt, so wie Julian, und die nur drei Minuten tragen kann, dann weiß ich nicht, wie wirklich unterrichtstauglich das dann wäre.",0.73792595
357280,362160,"Oder auch, also ich weiß ehrlich gesagt gar nicht, wie ist das, wenn du eine Brille trägst?",0.7337002
364280,367160, Kann man die dann einfach ganz normal ohne Probleme drüber setzen?,0.757322
367240,367800,Schon oder?,1.0
374000,378640,"Aber sowas meine ich, das sind halt einfach so ganz andere... ja...",0.5702088
379200,380440, mögliche Probleme.,1.0
400040,400280,Ja,1.0
413680,424880," dann könnte man ja alles, was man sich auch vielleicht zu schlecht vorstellen kann, auch im Unterrichtskontext, irgendwie dafür halt versuchen, die VR-Brille zu nutzen.",0.8068273
425040,426040,"Also, weil ",0.730131
427040,429040,dann sehen halt wirklich alle das Gleiche.,1.0
498080,498960,mhh,1.0
499640,513799," Aber bringt es irgendwo so einen wirklich extremen Vorteil, wo man sagt, die VfL ist wirklich besser als jetzt einfach, also der normale Unterricht, sage ich mal, und die Möglichkeiten, die man sonst eh schon hat?",0.7261811
515840,524680,"Weil das Einzige, was du jetzt gesagt hast, Tim, ist, finde ich mal, der erste richtige Punkt, wo es halt vielleicht sinnvoll wäre, mit dir Distanz so, aber selbst dann...",0.63685423
526360,532080," Würde ich mich als Schüler nicht freuen, wenn ich das irgendwie immer daheim aufsetzen müsste oder in irgendwelchen, keine Ahnung,",0.60479957
532840,533920,  geblockten Räumen.,1.0
547960,548080,mhh,1.0
556720,561160," Ich weiß halt auch nicht, was die besser machen müssen.",0.74389803
562160,564480,"Dass ehh, also keine Ahnung, ich würde jetzt..",0.6391248
567400,571440,"Ich weiß nicht ob es zukunftsfähig wäre, wenn sich irgendwas jetzt noch ändern würde.",1.0
572960,573880,Aber ich... Keine Ahnung.,0.4559135
574400,575040,Hm.,0.01
592200,592320, ja,1.0
604040,604160,ja,1.0
606320,608480,"Ja, oder wir würden dann ins Handy gehen.",0.56353074
608600,614040,"Deswegen meine ich eher, wir sind weniger abgelenkt, weil wir jetzt halt alle hier sind.",0.5984981
630000,630600,Wundervoll.,0.013
