from,to,name,conf
530,890," Ja, genau.",0.5762362
910,1891,Dann geht es jetzt einfach so.,0.571734
1931,2692,Ich stelle es nochmal ein.,0.547288
2952,9158,"Ich habe mir nochmal 10 Minuten und 10 Minuten Zeit, um das bei euch zu kommentieren.",0.64939916
9258,16105,"Und die Nachteile, die ihr jetzt gesprochen habt, umgehen zu können.",0.63766646
18680,19280,Okay.,0.5362325
20229,20800,Also.,0.50051236
22240,24360," Ich bin der Meinung, dass man sowas nicht in",0.65344733
25440,29720,"okay nicht in wichtigen Fächern klingt blöd, aber nicht, wenn du wirklich wichtige Inhalte beibringen willst, ",1.0
30240,33720,"machst, sondern wenn es halt Inhalte sind, die man sich spielerisch erarbeiten kann.",1.0
33760,39080,"Zum Beispiel so Übungsfirmen gab es bei mir in der alten Schule, wo ich Praktikum gemacht habe.",0.6535811
39120,40840,"Das wäre super, aber wenn du zum Beispiel",0.6561152
41600,47880," internes und externes Rechnungswesen den Leuten beibringst, ist das, glaube ich, eher hinderlich, weil die Ablenkung dadurch dann auch viel zu groß ist.",1.0
68800,69080, ja,1.0
92240,93360," Aber es geht auch nur, wenn Sie",0.63844347
93840,97600,  davor Theorie gelernt haben oder sich mit dem Thema schon auskennen.,1.0
97640,99480,Also jetzt zum Beispiel bei dem ähm,0.64559484
99840,107320," Arbeitsauftrag, den wir hatten, da war es simpel, weil die viel ihre eigene Meinung und was sie über Social Media und so mitbekommen, wahrscheinlich sagen, und nicht  irgendwelche",0.64559484
108040,110280, theoretischen Grundlagen aus irgendwelchen Lehrbüchern ,1.0
111320,112320, wiedergeben müssen.,1.0
113360,113880, Aber,1.0
114480,120760," sonst ist es eher so als Bonus, das Gelernte anzuwenden, um vielleicht auch manche Lerninhalte der Realität",0.65626776
121520,122080,ähm,1.0
122720,123880, zu realisieren.,0.5830323
124200,130440,"Also dass du nicht weißt, ich lerne das hier gerade einfach bis die Klausur ist und vergesse es dann wieder, sondern da und da werde ich es vielleicht brauchen.",0.6360894
131520,132480,Aber es muss auch wirklich ,0.62946075
133000,134040,"so passieren, dass",1.0
134480,137760," es dann nicht hinderlich für den Unterricht ist, wenn die Schüler dann doch nicht richtig mitmachen.",1.0
148480,148800, ja,1.0
164480,164720, ja,1.0
179000,179240, ja,1.0
182040,187320," vielleicht auch so für, also ich hoffe jetzt nicht, dass es wieder kommt, aber für so Corona-Situationen,",0.6565159
187760,197960," dass sowas vielleicht mehr Sinn macht, dass man sich irgendwie gemeinschaftlicher fühlt als zoomen, wo die Hälfte ihre Kamera nicht an hat oder wirklich nur so ein kleines Bildchen zu sehen ist, wenn überhaupt.",1.0
198600,201240,"Sondern dass man sich wirklich so fühlt, als würde man beisammen sein.",0.62413543
206200,206600,mhh,0.55635554
255600,256079,ja,1.0
256360,257280,"Ja, auf jeden Fall.",0.5607414
261720,264080," Mir ist gerade noch was eingefallen, aber ich habe es wieder vergessen.",0.6147523
265080,267760,"Mir ist gerade noch was eingefallen, aber ich habe es wieder vergessen.",0.6348428
269280,270680,War wahrscheinlich nicht so wichtig.,0.6017773
273960,274400," Ja, genau.",0.5154502
274480,276200,"Und man kann dadurch auch vielleicht feststellen, ",0.62580734
276560,277680,wo es hapert.,1.0
277800,278840,Also wenn du zum Beispiel ,0.6587448
279600,283640,"in der Berufsschule dann die Sachen versuchst anzuwenden und man dann merkt, okay,",1.0
284280,288600," da wussten sie nicht genau, was zu tun ist oder da haben sie was falsch gemacht, weiß man auch wieder, was man ",1.0
289000,293360,im Unterricht vielleicht noch mal genauer beleuchten soll in der Theorie dann statt in der Praxis.,1.0
294480,297480,"Und oft ist es ja so, du lernst, lernst, lernst, denkst, ah ja, easy.",0.6493338
298040,301040," Und dann kommst du in die Situation, wo du es anwenden sollst und bist so boa",0.6229412
301080,301920,Wie war das nochmal?,0.5888627
301960,302760,Was brauche ich da?,0.5476376
302800,303520,Wie ist eigentlich das?,0.58098394
304080,308520,"Und kommen nochmal mehr Fragen auf, als wenn du es einfach nur in der Theorie lernst und denkst, du hättest es verstanden.",0.6389144
309280,310400,"Ist ja auch so ähnlich, wie wenn du ",0.6491084
310960,312640,was in eigenen Worten wiedergeben musst.,1.0
312880,315280,Hap eh hadert es bei manchen Leuten ja auch schon dran.,0.613181
320416,321280,Und sonst?,0.5781331
322120,322960,Fällt mir jetzt gar nichts ein.,0.56778353
329280,331200, Müssen wir die zehn Minuten voll bekommen?,0.53731525
332200,335400,"Müssen wir die zehn Minuten voll bekommen, wenn uns nichts mehr einfällt?",0.6130024
381360,387920," Also der Kostenaspekt an sich, deswegen könnte man das jetzt wahrscheinlich nicht in jedem Unterrichtsfach oder für jedes Ding machen.",0.62238973
388920,389680,ähm,1.0
390360,392760,"Und halt, was wir auch vorhin schon besprochen haben, diese",0.6389254
393840,399440," Das Wichtige, dass man davor die Theorie gelernt hat, dass man die Leute nicht einfach reinschickt und sagt, ja, mach mal, sondern dass man wirklich",0.6477715
400600,407720,"hofft, dass sie auf dem Stand sind, dass sie das gut machen können und dann könnte durch die Ablenkung, klar, die Ablenkung ist ein Problem, da weiß man nicht, ob man es",1.0
408080,409960," so gut in den Griff bekommt, ist auch klassenabhängig, ",1.0
410600,411040,aber...,1.0
441520,441840, Also ,0.632695
442600,448520,"ich glaube, das hat jetzt nichts mit Tools zu tun, aber so die Motivation, wenn man den Schülern vermittelt, das ist wirklich was Besonderes, was man hier macht.",1.0
448520,458360,"Aber dann gibt es ja wahrscheinlich immer wieder diese zwei, drei Quatschköpfe, die man sagt, zum Beispiel, okay, Übungsfirma, du musst das so machen und dann versuchen sie es mit ihren Kumpels, da irgendeinen Quatsch auszudenken. also",0.6451197
459120,464400,"bis zum gewissen Grad kann man bestimmt dagegen wirken, aber es gibt auch Situationen,",0.6545419
465080,466280, das kann man wahrscheinlich dann einfach nicht.,1.0
475384,477004," Glaubt ihr, es wären Probleme mit den Arabanen, so wie sie sind, der Vorteil?",0.58853316
588360,608000," Und die Klassenkontrolle ist wahrscheinlich auch nochmal schwerer, dass du halt wirklich, wenn es doch chaotisch zugeht oder zu laut ist, dass man den Überblick schneller verliert, als wenn man, also ich könnte es mir noch eher vorstellen, dass alle in einem Raum sitzen und man es dann als Experiment macht, dass das leichter ist, als dass man sagt, hier ist dein Set, du kannst nach Hause gehen, wir machen von zu Hause den Unterricht.",0.6368129
630247,631267, Gratuliere.,0.5506008
631307,632568,Ich nehme dir dann mal gleich ab.,0.60837764
632588,635689,"Du kannst eben gleich hochgeben, wenn du willst.",0.60469073
635749,637789,Es ist dunkel hier draußen.,0.56156975
637849,639270,"Oh, deine Haare.",0.57694733
639290,640650,"Warte, dann nehme ich mal hier drüben.",0.52074313
640670,642751,"Ah, ja.",0.52140313
643231,645531,Das ist immer fies.,0.60522395
645551,648512,"Ja, vielen Dank für euren Antwort.",0.6146411
648632,650213,War echt super interessant.,0.59358984
650253,654454,Weil es kommt doch immer mehr an den Schulen an.,0.6257858
654574,657275,Und letztlich muss halt die Lehrkraft uns damit umgehen.,0.61685723
658148,658308, Ja.,0.5600179
658388,658908,Ja.,0.54060555
659068,659508,Ja.,0.5629562
659548,660349,Ja.,0.56659913
660369,660509,Ja.,0.59532124
660549,660609,Ja.,0.55382013
660629,660769,Ja.,0.5616776
660809,660869,Ja.,0.55944943
687931,693897," Und nun wollten wir ein bisschen aktiv mit den Menschen, mit den Anwälten.",0.62689304
694138,699443,"Ich war ein Teil, weil ich bin natürlich nicht so gut gekommen, wie die Pflegerinnen.",0.638697
699503,707652,"Und dann haben wir uns am Abend mit den Anwälten, mit den Anwälten, mit den Anwälten, mit den Anwälten, mit den Anwälten,",0.6493917
716152,716552," Ja, bitte.",0.5295241
748763,748803, Ja.,0.551685
807419,809780, Wart ihr schon mal in so einer richtigen Situation?,0.58084965
809820,810480,Ihr könnt euch lieber verhüten.,0.5676629
810500,811881,Ihr seid fast in einer Brücke zusammen.,0.5931855
811901,811981,Okay.,0.5609016
832739,834020, Genau.,0.5707123
834060,834420,Immer.,0.5424169
834440,835881,Das ist echt der Wahnsinn.,0.4981199
835921,841564,"Deswegen, am Anfang hatten wir gehofft, dass wir nur zwei Gruppen A3 machen können.",0.61991805
841624,843825,Aber das ist ein gutes Netzwerk.,0.5975966
843845,846126,Lass uns gucken.,0.60684454
846166,848487,"Da sind wir wieder im Schicksal, die wir jetzt noch hatten.",0.58760947
848508,849548,Genau.,0.60386246
849588,849868,Okay.,0.5131651
849928,853030,"Ich habe hier ein Wort, das ich aufgeschrieben habe.",0.62062186
853070,855731,Könntet ihr das nun mal ein bisschen spüren?,0.6122023
855771,858693,Moment.,0.60222495
