from,to,name,conf
18400,19240, also,1.0
19840,21640," ich glaube, ich würde es erstmal gar nicht einsetzen.",0.58235455
21680,24000,Es hat einfach noch zu viele technische Probleme.,0.8286186
35160,44000,"Oder wie du es gesagt hast, als Option oder vielleicht als, es ist ja schon was Spannendes, was Interessantes und ich glaube auch junge Schüler können das richtig toll finden, dass man das als",0.7952559
46640,52920," Bonus, die kurz vor Weihnachten, wenn die Schüler eh nicht mehr so konzentriert sind, weil es ist schon cool.",0.69667196
53120,57880,"Nur jetzt etwas ganz Wichtiges würde ich damit nicht besprechen, weil wir sehen, es klappt halt nur so semi.",0.86352515
97960,98560,Hallo.,1.0
107960,108280,ja,0.6450248
113160,114800,"Warte, mit dem Rechner bin ich besser.",0.8476579
115960,116520,wuwuw,1.0
122160,123520,"Max, du musst noch drauf.",0.19469076
140720,141760,"Ja, definitiv.",0.7921364
143520,156760,"Aber wenn man die Möglichkeit bekommt, weil ich, wenn ich ehrlich bin, kann ich mir nicht vorstellen, das ist ziemlich teuer, dass Schulen das wirklich machen, aber wenn man als Lehrkraft die Möglichkeit bekommt, halt als Sonderstunde mit, ja, der Stoff, der ihr",0.68722755
158680,159440, jetzt nicht so,0.7330772
160400,160640,ja,1.0
172840,173080,ja,1.0
206600,207040,"Ja, voll.",0.4047666
230920,235040,"Nee, das ist ein guter Punkt, da stimme ich dir voll zu, weil wir von der...",0.7502353
236280,239480, Von der Universität haben wir jetzt ja auch bloß sechs Stück bekommen.,0.0
240440,243840,Und es funktioniert ja mit sechs Stück schon total schwierig.,0.7709383
244000,245600,Wie soll das denn mit einer ganzen Klasse sein?,0.69296384
245720,247480,Wie viele sind in so einer Klasse durchschnittlich?,0.68571347
247560,249600,"Weiß ich nicht, 25 bis 30 Schüler.",0.7455996
261320,262000,"Ja, das wäre echt cool.",0.42748976
275880,276200,Ja.,0.53
278520,281120,Aber vorallem wenn wir,0.630154
282120,283080, an so eine Situation ,1.0
284280,288520,"denken, hast du zu einem ganz großen Teil ",1.0
289240,290600,technikunaffine,1.0
291080,292960,"technikunaffine Eltern, die dann helfen.",1.0
293040,294440,"Weil schau mal, selbst bei uns",0.81409985
295680,296800, Es klappt ja jetzt hier nicht.,0.3854401
