from,to,name,conf
45200,46680, Okay.,0.291
46840,51000,Können wir irgendwie was zeichnen oder aufschreiben?,0.5695228
51040,52400,"Nicht, oder?",0.77030516
54120,55480,"Nur Diskussion, okay.",0.78363854
55880,66400,"Also wenn man jetzt irgendwie so an die Schule denkt, finde ich es",0.31396273
66440,85920," so mit, so Verkaufsgespräche oder sowas, irgendwie realistischer nachstellen, dass das nicht irgendwie bloße Simulationsgespräche von Schülern sind, sondern dass da wirklich aktiv irgendwelche Kunden kommen, die dann auch authentische Fragen haben.",0.7494459
87120,89240,Das fände ich ganz cool.,0.80146337
94040,98040,"Ja, oder so Notsituationen, keine Ahnung, wenn man es hat.",0.6427696
100240,104480,"Ich weiß nicht, wer hat so Brandfälle oder sowas in irgendeinem Raum oder sowas.",0.589102
104640,107960,"Bei der Feuerwehr, ja, das ist ja auch mega zum Trainieren so.",0.7136245
109000,111560,Aber das ist halt im Schulkontext weniger.,0.40682253
127000,131200,Welche Schüler hast du gerade aktuell?,0.4494063
143760,143880,okay,1.0
154840,162320,"Also ich finde das mit den Gesellschaftsformen finde ich schwierig, aber mit den Versicherungskaufleuten, da finde ich schon Spaß, also da könnte man schon was machen irgendwie.",0.6561631
162400,165720,Also genauso wie auch so Beratungsgespräche.,0.8780653
183600,185120,Schadensfälle?,1.0
188600,191440,"Aber Gutachten stellen ja nicht die Versicherungsleute, oder?",0.654446
205120,205400,ja,1.0
244160,260840," Meinst du, so ein Ablauf, was passiert, dass du jetzt sagst, okay, du siehst jetzt da hinten irgendwie so einen Unfall und dann ist die versicherte Person, die kommt, macht dann Bilder davon und das siehst du halt und du bist halt als Außensteher noch mit dabei und dann irgendwann kommt halt so die Situation,",0.0
261000,278760," Okay, die versicherte Person kommt zu dir in die Versicherungsgesellschaft rein und dann ist halt da so die Simulationsgespräche, ja hey, ich habe den Unfall gehabt, ich habe die Unterlagen jetzt schon per App irgendwie so weitergeleitet, ist das schon angekommen und so in der Richtung, oder?",0.755856
324680,328200," Aber ich finde, das ist auch schon wieder so ein bisschen wie Zoom, oder?",0.61421114
328840,334360,"Außer halt vielleicht einfach so, ja, wenn man die Arbeitsplätze halt so verändern kann, das wäre ich jetzt wirklich die Person, die da halt steht.",0.7249804
346720,367400,"Ich finde jetzt, wenn wir jetzt so über einen interkulturellen Austausch oder sowas, man zeigt Diagramme oder sowas, dann finde ich es jetzt, wenn wir jetzt so sprechen würden und du zeigst mir jetzt da irgendwelche Grafen und ich denke mir dann so, ja gut, wird auf Zoom besser funktionieren und ich sehe die Mimik halt noch ein bisschen besser.",0.5422585
377840,378400,"Ja, ja",0.43
414520,420640," Ja, was ja spannend ist, aber das müsste ja eine Gewöhnungssache sein. Wir haben das ja auch noch nie..",0.37395474
464480,464600,ja,1.0
466600,472960," Aber das wäre schon... Jetzt stelle ich mir vor, du müsstest jetzt so eine Maschine auseinandernehmen.",0.3942493
477800,479280,"Ja, ich weiß, was du meinst.",0.46411377
503120,503520,okay,1.0
504280,506160,Vielleicht haben wir noch 2 Minuten 22.,0.44160208
512680,512799, Okay.,0.114
516680,519080,Aber kann man noch irgendwie was cooles spielen?,0.034710415
519080,519520,"Irgendwas... Okay, schade.",0.02454317
521919,522240,okay schade.,0.029285332
525480,526080,Hast du einen?,0.028968655
526640,526960,"Okay, der zweite.",0.029285332
528280,528720,Passt.,0.02
531040,531600,Danke.,0.037
