from,to,name,conf
136160,137280,Was machst du?,0.613261
137520,138440,Du machst auch Grundschule?,0.45109853
139440,140120,"Ja, du machst Gymnasium.",0.21682803
140280,141520,Ich mache auch Gymnasium.,0.59003735
141560,155920,"Und ich habe mich auch die ganze Zeit gefragt, weil ich mache Deutsch und Sozialkunde, also inwiefern ich das überhaupt irgendwie einsetzen könnte, beziehungsweise als sinnvoll erachten würde.",0.7917592
156520,158320,Und irgendwie finde ich es nicht sinnvoll.,0.80832744
158440,168480," Also ich finde es irgendwie schwierig, weil es halt echt noch krasser Aufwand ist, bis alle das verstanden haben und alles.",0.64348745
168520,176680,"Da finde ich es eher sinnvoller und ich finde es auch noch nicht so krass bei uns jetzt so angekommen, also finde ich jetzt so im Alltag oder so.",0.7281416
176720,179600,"Da finde ich es eigentlich schon besser, wenn man das einfach...",0.79485816
179760,200120," begrenzt anbietet, also jetzt keine Ahnung, wenn man jetzt Informatik oder sowas wählt als Fach, dass man da dann einfach mehr so drauf eingeht, weil ich mir auch gut vorstellen kann, dass das viele auch, also dass am Anfang so dieses Excitement darüber da ist, aber danach auch einfach diese Begeisterung total abnimmt und",0.8105077
201320,205200," Das ist halt, also es ist bei mir persönlich auch noch nicht so richtig angekommen.",0.5294341
205440,206360,Deswegen finde ich es schwierig.,0.5225736
207480,221680,"Weil ich könnte jetzt also, keine Ahnung, was, wenn ich jetzt Deutsch habe und man ein Gedicht irgendwie durchanalysiert, verstehe ich jetzt nicht ganz, was es darin wäre, sich dazu jetzt eine VR-Brille anzuziehen.",0.57017493
228880,229640," Ja, eben.",0.5861911
308960,310720,"Also quasi, ja,ja",1.0
333440,342200,"Also ich finde es, wie gesagt, ich finde es wichtig, dass man sowas auch anbietet, weil es gehört halt auch irgendwie dazu, zu dieser ganzen Entwicklung.",0.69830966
343880,352080,"Aber halt ernst zunehmend und vor allem auch für Schülerinnen und Schüler, die sich damit auch wirklich auseinandersetzen wollen und",0.8681439
353280,355920, sich da in der Hinsicht auch einfach weiterbilden wollen.,0.65976924
356160,371560,"Aber wie gesagt, ich kann, also ich jetzt auch, wenn ich mich versuche, zurück in die Schule zu beamen, denn wie gesagt, ich finde es bestimmt interessant, das mal so auszuprobieren, aber bis zu einem gewissen Punkt halt auch nur.",0.7303065
371600,376160,"Letzten Endes sitzen wir jetzt gerade auch nur in einem Raum, auch in dieser VR-Umgebung.",0.72344863
376200,377320,"Wisst ihr, wie ich meine?",0.14593507
378200,378320,ja,1.0
379840,380360,Schwierig.,0.813
386000,394400," Und du brauchst halt auch, wie gesagt, immer auch Leute, die dir dann da wie auch bei helfen, das ganze Zeug irgendwie einzurichten und so.",0.74217755
495400,496120,mhh,1.0
507800,508160,ja,1.0
545280,545400,ja,1.0
583800,586360,"So eine Arbeitsgruppe oder so, meinst du jetzt oder wie?",0.4717393
592800,597320,"Ja, da könnte man auch viel besser so drauf eingehen, auch auf jeden Einzelnen und auf die ",0.53825915
598560,602040,"Ziele, die man da irgendwie durch erreichen will oder keine Ahnung.",1.0
602400,602520,ja,1.0
614680,625680," Es ist halt irgendwie auch so aus diesem finanziellen Aspekt ein bisschen schwierig, weil es gibt immer Schulen, da gibt es nicht mal Papier und Tücher auf dem Klo, aber dann 10 pro April, das ist nicht wahr.",0.5225659
626760,627560,"Also irgendwie, keine Ahnung.",0.07868783
630040,630760,keine Ahnung,1.0
634040,635840, Du sitzt auch für deinen Boden drin.,0.7017602
650560,652440,Für Deutsch finde ich es auch schwierig.,0.6354
652680,656520,"Vielleicht so Geschichte, dass man irgendwie irgendwo hinreist.",0.87608224
659960,671960,"Dann muss man halt auch gucken, inwiefern wäre es jetzt sinnvoll, Kinder irgendwo im Schlachtfeld oder so abzusetzen. Weißt du was ich mein?",0.690739
725600,726560,"Ja, ja, ja.",0.5289338
726640,729440,"Ja, nee, das war jetzt auch krass bei, also so, ne?",0.28692633
730520,733200,"Also vom Prinzip her, ne, weil das kannst du ja eigentlich auch machen.",0.5121781
735080,736120,Also prinzipiell.,0.46472895
