from,to,name,conf
20600,22240," Ja okay, ich kann anfangen.",0.052981853
22360,23040,Also ich habe Grundschule.,0.09911969
24960,28000," Und ich finde es da allgemein sehr schwierig, das überhaupt mit einzubeziehen.",0.7309185
28160,46880,"Also ich glaube, ich würde das eher weglassen, weil irgendwie so... Also ich merke selber an mir, wie ich abgelenkt dadurch bin und mich stellenweise gar nicht so auf die konkrete Aufgabenstellung eigentlich konzentrieren kann, beziehungsweise wenn irgendwas schief geht, das nimmt halt sehr viel Zeit weg, vor allem so in der Grundschule, bis es auch überhaupt alles aufgebaut ist und so weiter.",0.7444456
46960,51680,"Und ich glaube, die Konzentration ist bei den Schülerinnen dann einfach...",0.80763125
52200,53280, woanders.,0.602
53920,54960,Und ich glaube ich würde da... ,0.6696916
56440,60200,"Ich glaube es würde oft schneller gehen, wenn man das weglassen würde und einfach in normaler Gruppenarbeit ",1.0
61640,64160,zum Beispiel das ausdiskutieren.,1.0
364920,365040,ja,1.0
478120,482880,"Wenn man da mit den Google-K-Boxes, also das ist in der Grundschule, glaube ich, voll gut umzusetzen.",0.5607166
484000,487040,"Aber man ist halt eher so alleine, also man ist jetzt nicht irgendwie nass.",0.39428186
487920,489160,Hätte ich jetzt gesagt.,1.0
534840,541400,"Ich glaube, sonst würden die Schüler das, glaube ich, bestimmt gern machen, wenn Lehrer, äh, Lehrkräfte das denen anbieten würden.",0.6666419
635920,636760,Ich glaube für Mathe ist es eher schwierig.,0.305348
638960,639920,ich glaube eher so,1.0
640640,641520,ja ich finde aber ,1.0
