from,to,name,conf
35360,35920, So.,0.774
38480,39040,Du musst,0.84414566
39680,40800, das Tablet aufmachen.,1.0
43400,45000,Dann unten bei Einstellungen.,0.8536713
48840,50600,Du musst die Hände so nach außen drehen.,0.73821855
52960,54920,Und dann gibt es da drei Auswahlmöglichkeiten.,0.8226373
59040,59520,Genau.,0.952
59560,62120,Du musst dann auf Tablet klicken mit dem jeweils anderen Controller.,0.71093005
65080,67640," Also es machen sich jetzt... Genau, bei dir hat sich jetzt das Menü aufgemacht.",0.68648815
69920,70720,Jetzt ist es wieder weg.,0.22644968
70800,71920,Dreh sie nochmal nur nach außen.,0.7454596
75040,76840,Das scheint bei dir nicht so ganz zu klappen irgendwie.,0.5040666
78200,79040,Da war es gerade wieder.,1.0
87600,88520,hahah,1.0
93840,94200,"Genau, ja.",0.568454
95640,96520,Ganz genau.,0.439709
101240,102000,Jetzt schläfst du.,0.29938674
118640,119920, Was machst du nochmal für Fächer?,0.18299535
123040,124400,"Ah ja, das war das Erweiterungsfach, gell?",0.5261321
126840,127480,Okay.,0.762
133200,134480,Also prinzipiell ,0.889748
135280,137320,finde ich halt tatsächlich auch ,1.0
138280,141720,solche Umgebungen einfach praktisch für so kleine Diskussionsrunden.,1.0
144760,146640,Und das kann man ja eigentlich in jedem Fach machen.,0.7663787
154600,154960,ja,1.0
158240,158640,Total.,0.786
171720,172120,Ja,1.0
188920,191560, Man müsste es halt genau irgendwie weiterentwickeln.,0.8367393
192360,196120,"Also es geht ja wirklich jetzt bei der Fragestellung auch nur um das Social VR,",0.7935297
196920,198640, also sowas wie jetzt.,1.0
199040,206000,"Ich meine, man könnte natürlich den virtuellen Lernraum irgendwie insoweit verändern, dass man zum Beispiel mit irgendwelchen Bausteinen ",0.8020951
206760,214440,sich halt zum Beispiel so Ablaufdiagramme irgendwie zeichnen kann und damit dann halt irgendwie gemeinsam sich sein Programm überlegt.,1.0
227120,227480,ja,1.0
249960,252280,"Absolut, das sind ja viel zu viele Bausteine.",0.7147954
256160,263600,"Ja, aber so prinzipiell frage ich mich dann halt trotzdem, ob man den gleichen Spaß nicht auch irgendwie in einem Computerprogramm haben kann, ganz normal auf seinem Bildschirm.",0.7683192
264440,267360,"Da kannst du ja auch irgendwelche Bausteine zusammenstecken, wie so ein Puzzle.",0.55245477
291520,291880,Genau.,0.604
293040,295240, Wir hatten auch schon mal über Mathe ein bisschen gesprochen.,0.6622294
295280,299200,"Da kann ich es mir tatsächlich voll gut vorstellen, dass man vielleicht so, wann wird das eingeführt?",0.70467865
299520,301400,"Siebte Klasse, glaube ich, Geometrie.",0.28439847
302720,317000,"Dass man sich halt die ganzen Körper und im dreidimensionalen Raum tatsächlich ja dann nur Körper, dass man mal so einen Würfel irgendwie rumschieben kann und gemeinsam darüber redet, wie man jetzt nochmal da, was das Volumen ist und der Flächeninhalt oder solche Spielereien.",0.7918778
344520,344920,Ja.,0.57
348360,350760,"Da ist irgend so eine, das ist glaub sogar meine.",0.6774802
