from,to,name,conf
6600,6920,Was?,1.0
15640,16760,ähh Sonderschule,1.0
17760,18840, zur geistigen Entwicklung.,0.67022127
20240,20600, okay,1.0
159520,159800,ja,1.0
182080,188120,"Also ich glaube, in meinem Förderschwerpunkt geistige Behinderung ist es noch nicht so ein Thema, ",0.79647
188760,193600,"weil die Schüler auch oft nicht so in der Lage sind, jetzt irgendwie zu Hause dann ",1.0
194080,195440,so krasse Sachen zu zocken.,1.0
199560,200160,Moment.,0.623
202040,213720,"An einer Förderschule mit dem Schwerpunkt geistige Behinderung ist das, glaube ich, nicht so ein Thema, weil die Schüler zum Teil auch nicht so in der Lage sind, jetzt irgendwie selbstständig da GTA zu zocken oder so.",0.82507074
215240,216120,ehm,1.0
216640,218480,"Genau, aber so im Unterricht...",0.7465148
219000,219680,ehm,1.0
220920,234080," wird es schon so eingesetzt, ein bisschen um Schüler, die jetzt irgendwie nicht am allgemeinen Unterricht mit, also die jetzt nicht am allgemeinen Unterricht teilnehmen können, so ein bisschen zu beschäftigen, jetzt irgendwie am Tablet oder so.",0.82146025
235040,236360,Aber ehm,1.0
236920,244280,"ohne dass sie da jetzt irgendwie so eine Aufgabe haben, da das Medium, also das Tablet dann irgendwie zu erforschen.",0.6826254
244960,245800,ehm,1.0
246200,246480,Genau.,0.872
246520,247440,Und im Lehrplan,0.75720745
247600,248000,ehm,1.0
