,task_eng,conf,seconds,seconds_interaction
1978,low,1,21.977777777777778,0.0
1979,low,1,21.98888888888889,0.011111111111111112
1980,low,1,22.0,0.022222222222222223
1981,low,1,22.011111111111113,0.03333333333333333
1982,low,1,22.022222222222222,0.044444444444444446
1983,low,1,22.033333333333335,0.05555555555555556
1984,low,1,22.044444444444444,0.06666666666666667
1985,low,1,22.055555555555557,0.07777777777777778
1986,low,1,22.066666666666666,0.08888888888888889
1987,low,1,22.07777777777778,0.1
1988,low,1,22.08888888888889,0.11111111111111112
1989,low,1,22.1,0.12222222222222223
1990,low,1,22.11111111111111,0.13333333333333333
1991,low,1,22.122222222222224,0.14444444444444446
1992,low,1,22.133333333333333,0.15555555555555556
1993,low,1,22.144444444444446,0.16666666666666669
1994,low,1,22.155555555555555,0.17777777777777778
1995,low,1,22.166666666666668,0.18888888888888888
1996,low,1,22.177777777777777,0.2
1997,low,1,22.18888888888889,0.2111111111111111
1998,low,1,22.2,0.22222222222222224
1999,low,1,22.211111111111112,0.23333333333333334
2000,low,1,22.22222222222222,0.24444444444444446
2001,low,1,22.233333333333334,0.2555555555555556
2002,low,1,22.244444444444444,0.26666666666666666
2003,low,1,22.255555555555556,0.2777777777777778
2004,low,1,22.26666666666667,0.2888888888888889
2005,low,1,22.27777777777778,0.3
2006,low,1,22.28888888888889,0.3111111111111111
2007,low,1,22.3,0.32222222222222224
2008,low,1,22.311111111111114,0.33333333333333337
2009,low,1,22.322222222222223,0.34444444444444444
2010,low,1,22.333333333333336,0.35555555555555557
2011,low,1,22.344444444444445,0.3666666666666667
2012,low,1,22.355555555555558,0.37777777777777777
2013,low,1,22.366666666666667,0.3888888888888889
2014,low,1,22.37777777777778,0.4
2015,low,1,22.38888888888889,0.41111111111111115
2016,low,1,22.400000000000002,0.4222222222222222
2017,low,1,22.41111111111111,0.43333333333333335
2018,low,1,22.422222222222224,0.4444444444444445
2019,low,1,22.433333333333334,0.45555555555555555
2020,low,1,22.444444444444446,0.4666666666666667
2021,low,1,22.455555555555556,0.4777777777777778
2022,low,1,22.46666666666667,0.48888888888888893
2023,low,1,22.477777777777778,0.5
2024,low,1,22.48888888888889,0.5111111111111112
2025,low,1,22.5,0.5222222222222223
2026,low,1,22.511111111111113,0.5333333333333333
2027,low,1,22.522222222222222,0.5444444444444445
2028,low,1,22.533333333333335,0.5555555555555556
2029,low,1,22.544444444444444,0.5666666666666667
2030,low,1,22.555555555555557,0.5777777777777778
2031,low,1,22.566666666666666,0.5888888888888889
2032,low,1,22.57777777777778,0.6
2033,low,1,22.58888888888889,0.6111111111111112
2034,low,1,22.6,0.6222222222222222
2035,low,1,22.61111111111111,0.6333333333333333
2036,low,1,22.622222222222224,0.6444444444444445
2037,low,1,22.633333333333333,0.6555555555555556
2038,low,1,22.644444444444446,0.6666666666666667
2039,low,1,22.655555555555555,0.6777777777777778
2040,low,1,22.666666666666668,0.6888888888888889
2041,low,1,22.677777777777777,0.7000000000000001
2042,low,1,22.68888888888889,0.7111111111111111
2043,low,1,22.7,0.7222222222222222
2044,low,1,22.711111111111112,0.7333333333333334
2045,low,1,22.72222222222222,0.7444444444444445
2046,low,1,22.733333333333334,0.7555555555555555
2047,low,1,22.744444444444444,0.7666666666666667
2048,low,1,22.755555555555556,0.7777777777777778
2049,low,1,22.76666666666667,0.788888888888889
2050,low,1,22.77777777777778,0.8
2051,low,1,22.78888888888889,0.8111111111111111
